目标ID,功能ID,功能名称,功能描述,父功能ID,部件ID
MB4002,GN1000,动力系统,,,
MB4002,GN0001,传动系统,,GN1000,BJ0001
MB4002,GN0002,发动机-燃气轮机,,GN1000,BJ0002
MB4002,GN0003,散热器,,GN1000,BJ0003
MB4002,GN0004,油箱,,GN1000,
MB4002,GN0005,中部蜂窝油箱,,GN0004,BJ0005
MB4002,GN0006,后部蜂窝油箱,,GN0004,BJ0006
MB4002,GN0007,右备用油箱,,GN0004,BJ0007
MB4002,GN0008,左备用油箱,,GN0004,BJ0008
MB4002,GN0009,外部油箱1,,GN0004,BJ0009
MB4002,GN0010,外部油箱2,,GN0004,BJ0010
MB4002,GN0011,外部油箱3,,GN0004,BJ0011
MB4002,GN0012,外部油箱4,,GN0004,BJ0012
MB4002,GN0013,外部油箱5,,GN0004,BJ0013
MB4002,GN0014,车体右前侧油箱,,GN0004,BJ0014
MB4002,GN0015,车体左前侧油箱,,GN0004,BJ0015
MB4002,GN0016,电池组,,GN1000,BJ0016
MB4002,GN2000,武器系统,,,
MB4002,GN0017,炮塔弹药架,,GN2000,BJ0017
MB4002,GN0018,轮转弹药架,,GN2000,BJ0018
MB4002,GN0019,自动抛壳机,,GN2000,BJ0019
MB4002,GN0020,自动装弹机,,GN2000,BJ0020
MB4002,GN0021,125毫米滑膛炮,,GN2000,BJ0021
MB4002,GN0022,烟幕发射器,,GN2000,
MB4002,GN0023,右烟幕发射器,,GN0022,BJ0023
MB4002,GN0024,左烟幕发射器,,GN0022,BJ0024
MB4002,GN0025,方向机,,GN2000,BJ0025
MB4002,GN0026,辅助武器,,GN2000,
MB4002,GN0027,并列机枪,,GN0026,BJ0027
MB4002,GN0028,12.7毫米高射机枪,,GN0026,BJ0028
MB4002,GN3000,乘员系统,,,
MB4002,GN0029,炮手,,GN3000,BJ0029
MB4002,GN0030,车长,,GN3000,BJ0030
MB4002,GN0031,驾驶员,,GN3000,BJ0031
MB4002,GN4000,火控系统,,,
MB4002,GN0032,光电防御系统,,GN4000,BJ0032
MB4002,GN0033,夜视仪,,GN4000,BJ0033
MB4002,GN0034,炮手观瞄,,GN4000,BJ0034
MB4002,GN0035,车长观瞄,,GN4000,BJ0035
MB4002,GN5000,行走系统,,,
MB4002,GN0036,主动轮,,GN5000,
MB4002,GN0037,右主动轮,,GN0036,BJ0037
MB4002,GN0038,左主动轮,,GN0036,BJ0038
MB4002,GN0039,履带,,GN5000,
MB4002,GN0040,右履带,,GN0039,BJ0040
MB4002,GN0041,左履带,,GN0039,BJ0041
MB4002,GN0042,托带轮,,GN5000,
MB4002,GN0043,右托带轮1,,GN0042,BJ0043
MB4002,GN0044,右托带轮2,,GN0042,BJ0044
MB4002,GN0045,右托带轮3,,GN0042,BJ0045
MB4002,GN0046,左托带轮1,,GN0042,BJ0046
MB4002,GN0047,左托带轮2,,GN0042,BJ0047
MB4002,GN0048,左托带轮3,,GN0042,BJ0048
MB4002,GN0049,诱导轮,,GN5000,
MB4002,GN0050,右诱导论,,GN0049,BJ0050
MB4002,GN0051,左诱导轮,,GN0049,BJ0051
MB4002,GN0052,负重轮,,GN5000,
MB4002,GN0053,右负重轮1,,GN0052,BJ0053
MB4002,GN0054,右负重轮2,,GN0052,BJ0054
MB4002,GN0055,右负重轮3,,GN0052,BJ0055
MB4002,GN0056,右负重轮4,,GN0052,BJ0056
MB4002,GN0057,右负重轮5,,GN0052,BJ0057
MB4002,GN0058,右负重轮6,,GN0052,BJ0058
MB4002,GN0059,左负重轮1,,GN0052,BJ0059
MB4002,GN0060,左负重轮2,,GN0052,BJ0060
MB4002,GN0061,左负重轮3,,GN0052,BJ0061
MB4002,GN0062,左负重轮4,,GN0052,BJ0062
MB4002,GN0063,左负重轮5,,GN0052,BJ0063
MB4002,GN0064,左负重轮6,,GN0052,BJ0064
MB4002,GN0065,悬挂装置,,,
MB4002,GN0066,悬挂装置1,,GN0065,BJ0066
MB4002,GN0067,悬挂装置2,,GN0065,BJ0067
MB4002,GN0068,悬挂装置3,,GN0065,BJ0068
MB4002,GN0069,悬挂装置4,,GN0065,BJ0069
MB4002,GN0070,悬挂装置5,,GN0065,BJ0070
MB4002,GN0071,悬挂装置6,,GN0065,BJ0071
MB4002,GN6000,通讯系统,,,
MB4002,GN0072,车载电台,,GN6000,BJ0072
MB4002,GN7000,防护系统,,,
MB4002,GN0073,车体,,GN7000,
MB4002,GN0074,车体首上装甲,,GN0073,BJ0074
MB4002,GN0075,车体首下装甲,,GN0073,BJ0075
MB4002,GN0076,车体侧装甲,,GN0073,BJ0076
MB4002,GN0077,车体后装甲,,GN0073,BJ0077
MB4002,GN0078,车体顶装甲,,GN0073,BJ0078
MB4002,GN0079,车体底装甲,,GN0073,BJ0079
MB4002,GN0080,炮塔,,GN7000,
MB4002,GN0081,炮塔前右装甲,,GN0080,BJ0081
MB4002,GN0082,炮塔前左装甲,,GN0080,BJ0082
MB4002,GN0083,炮塔顶装甲,,GN0080,BJ0083
MB4002,GN0084,炮塔后部装甲,,GN0080,BJ0084
