目标ID,部件ID,部件名称,部件描述,材料ID,等效厚度(mm),是否实心,X轴正向等效厚度(mm),X轴负向等效厚度(mm),Y轴正向等效厚度(mm),Y轴负向等效厚度(mm),Z轴正向等效厚度(mm),Z轴负向等效厚度(mm),父部件ID,几何中心x(mm),几何中心y(mm),几何中心z(mm),长度(mm),宽度(mm),高度(mm)
MB4002,BJ0001,传动系统,,,12,1,,,,,,,,-162.239,7.573,62.541,918,1967,588
MB4002,BJ0002,发动机-燃气轮机,,,10,1,,,,,,,,-129.865,33.64,69.847,710,1257,762
MB4002,BJ0003,散热器,,,5,1,,,,,,,,-197.699,6.205,100.778,424,1552,163
MB4002,BJ0004,油箱,,,,,,,,,,,,,,,,,
MB4002,BJ0005,中部蜂窝油箱,,,3.1,1,,,,,,,BJ0004,122.7,6.165,92.635,393,379,675
MB4002,BJ0006,后部蜂窝油箱,,,3.1,1,,,,,,,BJ0004,-141.65,-89.456,94.365,379,675,393
MB4002,BJ0007,右备用油箱,,,3.1,1,,,,,,,BJ0004,-275.893,-260.893,110.315,464,797,457
MB4002,BJ0008,左备用油箱,,,3.1,1,,,,,,,BJ0004,-275.893,-290.893,110.315,464,797,457
MB4002,BJ0009,外部油箱1,,,3.1,1,,,,,,,BJ0004,154.716,-98.832,105.226,854.4,374,210
MB4002,BJ0010,外部油箱2,,,3.1,1,,,,,,,BJ0004,69.316,-98.832,105.226,854.4,374,210
MB4002,BJ0011,外部油箱3,,,3.1,1,,,,,,,BJ0004,-16.084,-98.832,105.226,854.4,374,210
MB4002,BJ0012,外部油箱4,,,3.1,1,,,,,,,BJ0004,-101.484,-98.832,105.226,854.4,374,210
MB4002,BJ0013,外部油箱5,,,3.1,1,,,,,,,BJ0004,-186.884,-98.832,105.226,854.4,374,210
MB4002,BJ0014,车体右前侧油箱,,,3.1,1,,,,,,,BJ0004,187.319,6.205,61.289,896,492,504
MB4002,BJ0015,车体左前侧油箱,,,3.1,1,,,,,,,BJ0004,187.319,6.205,61.289,896,492,504
MB4002,BJ0016,电池组,,,2,1,,,,,,,,109.538,64.684,62.668,424,433,427
MB4002,BJ0017,炮塔弹药架,,,26,1,,,,,,,,-32.352,60.605,136.209,455,420,258
MB4002,BJ0018,轮转弹药架,,,26,1,,,,,,,,12.98,6.205,63.698,1680,1680,513
