目标ID,功能ID,部件ID
MB4002,GN0001,BJ0001
MB4002,GN0002,BJ0002
MB4002,GN0003,BJ0003
MB4002,GN0005,BJ0005
MB4002,GN0006,BJ0006
MB4002,GN0007,BJ0007
MB4002,GN0008,BJ0008
MB4002,GN0009,BJ0009
MB4002,GN0010,BJ0010
MB4002,GN0011,BJ0011
MB4002,GN0012,BJ0012
MB4002,GN0013,BJ0013
MB4002,GN0014,BJ0014
MB4002,GN0015,BJ0015
MB4002,GN0016,BJ0016
MB4002,GN0017,BJ0017
MB4002,GN0018,BJ0018
MB4002,GN0019,BJ0019
MB4002,GN0020,BJ0020
MB4002,GN0021,BJ0021
MB4002,GN0023,BJ0023
MB4002,GN0024,BJ0024
MB4002,GN0025,BJ0025
MB4002,GN0027,BJ0027
MB4002,GN0028,BJ0028
MB4002,GN0029,BJ0029
MB4002,GN0030,BJ0030
MB4002,GN0031,BJ0031
MB4002,GN0032,BJ0032
MB4002,GN0033,BJ0033
MB4002,GN0034,BJ0034
MB4002,GN0035,BJ0035
MB4002,GN0037,BJ0037
MB4002,GN0038,BJ0038
MB4002,GN0040,BJ0040
MB4002,GN0041,BJ0041
MB4002,GN0043,BJ0043
MB4002,GN0044,BJ0044
MB4002,GN0045,BJ0045
MB4002,GN0046,BJ0046
MB4002,GN0047,BJ0047
MB4002,GN0048,BJ0048
MB4002,GN0050,BJ0050
MB4002,GN0051,BJ0051
MB4002,GN0053,BJ0053
MB4002,GN0054,BJ0054
MB4002,GN0055,BJ0055
MB4002,GN0056,BJ0056
MB4002,GN0057,BJ0057
MB4002,GN0058,BJ0058
MB4002,GN0059,BJ0059
MB4002,GN0060,BJ0060
MB4002,GN0061,BJ0061
MB4002,GN0062,BJ0062
MB4002,GN0063,BJ0063
MB4002,GN0064,BJ0064
MB4002,GN0066,BJ0066
MB4002,GN0067,BJ0067
MB4002,GN0068,BJ0068
MB4002,GN0069,BJ0069
MB4002,GN0070,BJ0070
MB4002,GN0071,BJ0071
MB4002,GN0072,BJ0072
MB4002,GN0074,BJ0074
MB4002,GN0075,BJ0075
MB4002,GN0076,BJ0076
MB4002,GN0077,BJ0077
MB4002,GN0078,BJ0078
MB4002,GN0079,BJ0079
MB4002,GN0081,BJ0081
MB4002,GN0082,BJ0082
MB4002,GN0083,BJ0083
MB4002,GN0084,BJ0084
